epoch,train_loss,val_loss,lr,seconds
1,0.08336714822053909,0.09201503451913595,0.0003,143.69494080543518
2,0.0854677551984787,0.08752315258607268,0.0003,160.80301022529602
3,0.08593907451629638,0.08291417500004172,0.0003,187.924946308136
4,0.08455827179551124,0.08496776386164129,0.0003,199.59989762306213
5,0.08522206920385361,0.0890155378729105,0.0003,271.78426790237427
6,0.0844330785870552,0.09321571327745914,0.0003,199.7316858768463
7,0.08454363882541656,0.09059998346492648,0.0003,181.2859947681427
8,0.08341570144891738,0.08314165519550443,0.00015,183.2091863155365
9,0.08373210018873214,0.08882255852222443,0.00015,177.91594171524048
10,0.08750258779525757,0.09034677920863032,0.00015,179.85571599006653
11,0.08618389266729355,0.08683257177472115,0.00015,170.41590023040771
12,0.08705785965919495,0.08505486091598868,0.00015,192.9305124282837
